序号,来源Sheet,单元格地址,公式内容,当前计算值,值类型
3651,抖动计算,Q22,"=IF(OR(Q$19=""TEN"",R$19=""TEN""),$T$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP5/180*PI()),对齐度计算!BE5)",,空
3652,抖动计算,R22,"=IF(OR(Q$19=""TEN"",R$19=""TEN""),$U$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP5/180*PI()),对齐度计算!BF5)",,空
3653,抖动计算,S22,"=IF(OR(S$19=""TEN"",T$19=""TEN""),$T$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP5/180*PI()),对齐度计算!BG5)",,空
3654,抖动计算,T22,"=IF(OR(S$19=""TEN"",T$19=""TEN""),$U$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP5/180*PI()),对齐度计算!BH5)",,空
3655,抖动计算,U22,"=IF(OR(U$19=""TEN"",V$19=""TEN""),$T$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP5/180*PI()),对齐度计算!BI5)",,空
3656,抖动计算,V22,"=IF(OR(U$19=""TEN"",V$19=""TEN""),$U$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP5/180*PI()),对齐度计算!BJ5)",,空
3657,抖动计算,W22,"=IF(OR(W$19=""TEN"",X$19=""TEN""),$AN$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP5/180*PI()),对齐度计算!AQ5)",63.520100069287416,数值
3658,抖动计算,X22,"=IF(OR(W$19=""TEN"",X$19=""TEN""),$AO$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP5/180*PI()),对齐度计算!AR5)",11.200307459517006,数值
3659,抖动计算,Y22,"=IF(OR(Y$19=""TEN"",Z$19=""TEN""),$AN$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP5/180*PI()),对齐度计算!AS5)",266.33942483735404,数值
3660,抖动计算,Z22,"=IF(OR(Y$19=""TEN"",Z$19=""TEN""),$AO$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP5/180*PI()),对齐度计算!AT5)",-59.44420284765903,数值
3661,抖动计算,AA22,"=IF(OR(AA$19=""TEN"",AB$19=""TEN""),$AN$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP5/180*PI()),对齐度计算!AU5)",334.1120600415725,数值
3662,抖动计算,AB22,"=IF(OR(AA$19=""TEN"",AB$19=""TEN""),$AO$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP5/180*PI()),对齐度计算!AV5)",31.720184475710205,数值
3663,抖动计算,AC22,"=IF(OR(AC$19=""TEN"",AD$19=""TEN""),$AN$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP5/180*PI()),对齐度计算!AW5)",329.1492341686836,数值
3664,抖动计算,AD22,"=IF(OR(AC$19=""TEN"",AD$19=""TEN""),$AO$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP5/180*PI()),对齐度计算!AX5)",142.2242979493481,数值
3665,抖动计算,AE22,"=IF(OR(AE$19=""TEN"",AF$19=""TEN""),$AN$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP5/180*PI()),对齐度计算!AY5)",207.64011554474112,数值
3666,抖动计算,AF22,"=IF(OR(AE$19=""TEN"",AF$19=""TEN""),$AO$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP5/180*PI()),对齐度计算!AZ5)",17.1037205831478,数值
3667,抖动计算,AG22,"=IF(OR(AG$19=""TEN"",AH$19=""TEN""),$AN$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP5/180*PI()),对齐度计算!BA5)",,空
3668,抖动计算,AH22,"=IF(OR(AG$19=""TEN"",AH$19=""TEN""),$AO$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP5/180*PI()),对齐度计算!BB5)",,空
3669,抖动计算,AI22,"=IF(OR(AI$19=""TEN"",AJ$19=""TEN""),$AN$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP5/180*PI()),对齐度计算!BC5)",,空
3670,抖动计算,AJ22,"=IF(OR(AI$19=""TEN"",AJ$19=""TEN""),$AO$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP5/180*PI()),对齐度计算!BD5)",,空
3671,抖动计算,AK22,"=IF(OR(AK$19=""TEN"",AL$19=""TEN""),$AN$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP5/180*PI()),对齐度计算!BE5)",,空
3672,抖动计算,AL22,"=IF(OR(AK$19=""TEN"",AL$19=""TEN""),$AO$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP5/180*PI()),对齐度计算!BF5)",,空
3673,抖动计算,AM22,"=IF(OR(AM$19=""TEN"",AN$19=""TEN""),$AN$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP5/180*PI()),对齐度计算!BG5)",,空
3674,抖动计算,AN22,"=IF(OR(AM$19=""TEN"",AN$19=""TEN""),$AO$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP5/180*PI()),对齐度计算!BH5)",,空
3675,抖动计算,AO22,"=IF(OR(AO$19=""TEN"",AP$19=""TEN""),$AN$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP5/180*PI()),对齐度计算!BI5)",,空
3676,抖动计算,AP22,"=IF(OR(AO$19=""TEN"",AP$19=""TEN""),$AO$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP5/180*PI()),对齐度计算!BJ5)",,空
3677,抖动计算,AQ22,"=IF(OR(AQ$19=""TEN"",AR$19=""TEN""),$BH$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP5/180*PI()),对齐度计算!AQ5)",63.520100069287416,数值
3678,抖动计算,AR22,"=IF(OR(AQ$19=""TEN"",AR$19=""TEN""),$BI$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP5/180*PI()),对齐度计算!AR5)",11.200307459517006,数值
3679,抖动计算,AS22,"=IF(OR(AS$19=""TEN"",AT$19=""TEN""),$BH$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP5/180*PI()),对齐度计算!AS5)",266.33942483735404,数值
3680,抖动计算,AT22,"=IF(OR(AS$19=""TEN"",AT$19=""TEN""),$BI$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP5/180*PI()),对齐度计算!AT5)",-59.44420284765903,数值
3681,抖动计算,AU22,"=IF(OR(AU$19=""TEN"",AV$19=""TEN""),$BH$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP5/180*PI()),对齐度计算!AU5)",334.1120600415725,数值
3682,抖动计算,AV22,"=IF(OR(AU$19=""TEN"",AV$19=""TEN""),$BI$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP5/180*PI()),对齐度计算!AV5)",31.720184475710205,数值
3683,抖动计算,AW22,"=IF(OR(AW$19=""TEN"",AX$19=""TEN""),$BH$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP5/180*PI()),对齐度计算!AW5)",329.1492341686836,数值
3684,抖动计算,AX22,"=IF(OR(AW$19=""TEN"",AX$19=""TEN""),$BI$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP5/180*PI()),对齐度计算!AX5)",142.2242979493481,数值
3685,抖动计算,AY22,"=IF(OR(AY$19=""TEN"",AZ$19=""TEN""),$BH$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP5/180*PI()),对齐度计算!AY5)",207.61536398139086,数值
3686,抖动计算,AZ22,"=IF(OR(AY$19=""TEN"",AZ$19=""TEN""),$BI$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP5/180*PI()),对齐度计算!AZ5)",14.555715735035012,数值
3687,抖动计算,BA22,"=IF(OR(BA$19=""TEN"",BB$19=""TEN""),$BH$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP5/180*PI()),对齐度计算!BA5)",,空
3688,抖动计算,BB22,"=IF(OR(BA$19=""TEN"",BB$19=""TEN""),$BI$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP5/180*PI()),对齐度计算!BB5)",,空
3689,抖动计算,BC22,"=IF(OR(BC$19=""TEN"",BD$19=""TEN""),$BH$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP5/180*PI()),对齐度计算!BC5)",,空
3690,抖动计算,BD22,"=IF(OR(BC$19=""TEN"",BD$19=""TEN""),$BI$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP5/180*PI()),对齐度计算!BD5)",,空
3691,抖动计算,BE22,"=IF(OR(BE$19=""TEN"",BF$19=""TEN""),$BH$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP5/180*PI()),对齐度计算!BE5)",,空
3692,抖动计算,BF22,"=IF(OR(BE$19=""TEN"",BF$19=""TEN""),$BI$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP5/180*PI()),对齐度计算!BF5)",,空
3693,抖动计算,BG22,"=IF(OR(BG$19=""TEN"",BH$19=""TEN""),$BH$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP5/180*PI()),对齐度计算!BG5)",,空
3694,抖动计算,BH22,"=IF(OR(BG$19=""TEN"",BH$19=""TEN""),$BI$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP5/180*PI()),对齐度计算!BH5)",,空
3695,抖动计算,BI22,"=IF(OR(BI$19=""TEN"",BJ$19=""TEN""),$BH$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP5/180*PI()),对齐度计算!BI5)",,空
3696,抖动计算,BJ22,"=IF(OR(BI$19=""TEN"",BJ$19=""TEN""),$BI$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP5/180*PI()),对齐度计算!BJ5)",,空
3697,抖动计算,BK22,"=IF(OR(BK$19=""TEN"",BL$19=""TEN""),$CB$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP5/180*PI()),对齐度计算!AQ5)",63.520100069287416,数值
3698,抖动计算,BL22,"=IF(OR(BK$19=""TEN"",BL$19=""TEN""),$CC$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP5/180*PI()),对齐度计算!AR5)",11.200307459517006,数值
3699,抖动计算,BM22,"=IF(OR(BM$19=""TEN"",BN$19=""TEN""),$CB$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP5/180*PI()),对齐度计算!AS5)",266.33942483735404,数值
3700,抖动计算,BN22,"=IF(OR(BM$19=""TEN"",BN$19=""TEN""),$CC$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP5/180*PI()),对齐度计算!AT5)",-59.44420284765903,数值
3701,抖动计算,BO22,"=IF(OR(BO$19=""TEN"",BP$19=""TEN""),$CB$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP5/180*PI()),对齐度计算!AU5)",334.1120600415725,数值
3702,抖动计算,BP22,"=IF(OR(BO$19=""TEN"",BP$19=""TEN""),$CC$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP5/180*PI()),对齐度计算!AV5)",31.720184475710205,数值
3703,抖动计算,BQ22,"=IF(OR(BQ$19=""TEN"",BR$19=""TEN""),$CB$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP5/180*PI()),对齐度计算!AW5)",329.1492341686836,数值
3704,抖动计算,BR22,"=IF(OR(BQ$19=""TEN"",BR$19=""TEN""),$CC$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP5/180*PI()),对齐度计算!AX5)",142.2242979493481,数值
3705,抖动计算,BS22,"=IF(OR(BS$19=""TEN"",BT$19=""TEN""),$CB$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP5/180*PI()),对齐度计算!AY5)",207.0531157516021,数值
3706,抖动计算,BT22,"=IF(OR(BS$19=""TEN"",BT$19=""TEN""),$CC$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP5/180*PI()),对齐度计算!AZ5)",8.836881394889172,数值
3707,抖动计算,BU22,"=IF(OR(BU$19=""TEN"",BV$19=""TEN""),$CB$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP5/180*PI()),对齐度计算!BA5)",,空
3708,抖动计算,BV22,"=IF(OR(BU$19=""TEN"",BV$19=""TEN""),$CC$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP5/180*PI()),对齐度计算!BB5)",,空
3709,抖动计算,BW22,"=IF(OR(BW$19=""TEN"",BX$19=""TEN""),$CB$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP5/180*PI()),对齐度计算!BC5)",,空
3710,抖动计算,BX22,"=IF(OR(BW$19=""TEN"",BX$19=""TEN""),$CC$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP5/180*PI()),对齐度计算!BD5)",,空
3711,抖动计算,BY22,"=IF(OR(BY$19=""TEN"",BZ$19=""TEN""),$CB$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP5/180*PI()),对齐度计算!BE5)",,空
3712,抖动计算,BZ22,"=IF(OR(BY$19=""TEN"",BZ$19=""TEN""),$CC$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP5/180*PI()),对齐度计算!BF5)",,空
3713,抖动计算,CA22,"=IF(OR(CA$19=""TEN"",CB$19=""TEN""),$CB$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP5/180*PI()),对齐度计算!BG5)",,空
3714,抖动计算,CB22,"=IF(OR(CA$19=""TEN"",CB$19=""TEN""),$CC$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP5/180*PI()),对齐度计算!BH5)",,空
3715,抖动计算,CC22,"=IF(OR(CC$19=""TEN"",CD$19=""TEN""),$CB$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP5/180*PI()),对齐度计算!BI5)",,空
3716,抖动计算,CD22,"=IF(OR(CC$19=""TEN"",CD$19=""TEN""),$CC$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP5/180*PI()),对齐度计算!BJ5)",,空
3717,抖动计算,A23,"=LEFT(初始输入!B77, FIND(""-"", 初始输入!B77) - 1)",FAN,文本
3718,抖动计算,B23,"=RIGHT(初始输入!B77, LEN(初始输入!B77) - FIND(""-"", 初始输入!B77))",ALT,文本
3719,抖动计算,C23,"=IF(OR(C$19=""TEN"",D$19=""TEN""),$T$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP6/180*PI()),对齐度计算!AQ6)",60.61017404069109,数值
3720,抖动计算,D23,"=IF(OR(C$19=""TEN"",D$19=""TEN""),$U$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP6/180*PI()),对齐度计算!AR6)",22.060299244505632,数值
3721,抖动计算,E23,"=IF(OR(E$19=""TEN"",F$19=""TEN""),$T$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP6/180*PI()),对齐度计算!AS6)",265.03108600279137,数值
3722,抖动计算,F23,"=IF(OR(E$19=""TEN"",F$19=""TEN""),$U$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP6/180*PI()),对齐度计算!AT6)",-54.56141584355561,数值
3723,抖动计算,G23,"=IF(OR(G$19=""TEN"",H$19=""TEN""),$T$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP6/180*PI()),对齐度计算!AU6)",332.36610442441463,数值
3724,抖动计算,H23,"=IF(OR(G$19=""TEN"",H$19=""TEN""),$U$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP6/180*PI()),对齐度计算!AV6)",38.23617954670338,数值
3725,抖动计算,I23,"=IF(OR(I$19=""TEN"",J$19=""TEN""),$T$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP6/180*PI()),对齐度计算!AW6)",326.62278676401087,数值
3726,抖动计算,J23,"=IF(OR(I$19=""TEN"",J$19=""TEN""),$U$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP6/180*PI()),对齐度计算!AX6)",151.65312802623745,数值
3727,抖动计算,K23,"=IF(OR(K$19=""TEN"",L$19=""TEN""),$T$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP6/180*PI()),对齐度计算!AY6)",205.89553803960462,数值
3728,抖动计算,L23,"=IF(OR(K$19=""TEN"",L$19=""TEN""),$U$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP6/180*PI()),对齐度计算!AZ6)",25.71676288317539,数值
3729,抖动计算,M23,"=IF(OR(M$19=""TEN"",N$19=""TEN""),$T$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP6/180*PI()),对齐度计算!BA6)",,空
3730,抖动计算,N23,"=IF(OR(M$19=""TEN"",N$19=""TEN""),$U$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP6/180*PI()),对齐度计算!BB6)",,空
3731,抖动计算,O23,"=IF(OR(O$19=""TEN"",P$19=""TEN""),$T$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP6/180*PI()),对齐度计算!BC6)",,空
3732,抖动计算,P23,"=IF(OR(O$19=""TEN"",P$19=""TEN""),$U$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP6/180*PI()),对齐度计算!BD6)",,空
3733,抖动计算,Q23,"=IF(OR(Q$19=""TEN"",R$19=""TEN""),$T$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP6/180*PI()),对齐度计算!BE6)",,空
3734,抖动计算,R23,"=IF(OR(Q$19=""TEN"",R$19=""TEN""),$U$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP6/180*PI()),对齐度计算!BF6)",,空
3735,抖动计算,S23,"=IF(OR(S$19=""TEN"",T$19=""TEN""),$T$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP6/180*PI()),对齐度计算!BG6)",,空
3736,抖动计算,T23,"=IF(OR(S$19=""TEN"",T$19=""TEN""),$U$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP6/180*PI()),对齐度计算!BH6)",,空
3737,抖动计算,U23,"=IF(OR(U$19=""TEN"",V$19=""TEN""),$T$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP6/180*PI()),对齐度计算!BI6)",,空
3738,抖动计算,V23,"=IF(OR(U$19=""TEN"",V$19=""TEN""),$U$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP6/180*PI()),对齐度计算!BJ6)",,空
3739,抖动计算,W23,"=IF(OR(W$19=""TEN"",X$19=""TEN""),$AN$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP6/180*PI()),对齐度计算!AQ6)",60.61017404069109,数值
3740,抖动计算,X23,"=IF(OR(W$19=""TEN"",X$19=""TEN""),$AO$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP6/180*PI()),对齐度计算!AR6)",22.060299244505632,数值
3741,抖动计算,Y23,"=IF(OR(Y$19=""TEN"",Z$19=""TEN""),$AN$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP6/180*PI()),对齐度计算!AS6)",265.03108600279137,数值
3742,抖动计算,Z23,"=IF(OR(Y$19=""TEN"",Z$19=""TEN""),$AO$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP6/180*PI()),对齐度计算!AT6)",-54.56141584355561,数值
3743,抖动计算,AA23,"=IF(OR(AA$19=""TEN"",AB$19=""TEN""),$AN$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP6/180*PI()),对齐度计算!AU6)",332.36610442441463,数值
3744,抖动计算,AB23,"=IF(OR(AA$19=""TEN"",AB$19=""TEN""),$AO$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP6/180*PI()),对齐度计算!AV6)",38.23617954670338,数值
3745,抖动计算,AC23,"=IF(OR(AC$19=""TEN"",AD$19=""TEN""),$AN$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP6/180*PI()),对齐度计算!AW6)",326.62278676401087,数值
3746,抖动计算,AD23,"=IF(OR(AC$19=""TEN"",AD$19=""TEN""),$AO$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP6/180*PI()),对齐度计算!AX6)",151.65312802623745,数值
3747,抖动计算,AE23,"=IF(OR(AE$19=""TEN"",AF$19=""TEN""),$AN$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP6/180*PI()),对齐度计算!AY6)",206.00694775814907,数值
3748,抖动计算,AF23,"=IF(OR(AE$19=""TEN"",AF$19=""TEN""),$AO$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP6/180*PI()),对齐度计算!AZ6)",23.19878573999413,数值
3749,抖动计算,AG23,"=IF(OR(AG$19=""TEN"",AH$19=""TEN""),$AN$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP6/180*PI()),对齐度计算!BA6)",,空
3750,抖动计算,AH23,"=IF(OR(AG$19=""TEN"",AH$19=""TEN""),$AO$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP6/180*PI()),对齐度计算!BB6)",,空
3751,抖动计算,AI23,"=IF(OR(AI$19=""TEN"",AJ$19=""TEN""),$AN$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP6/180*PI()),对齐度计算!BC6)",,空
3752,抖动计算,AJ23,"=IF(OR(AI$19=""TEN"",AJ$19=""TEN""),$AO$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP6/180*PI()),对齐度计算!BD6)",,空
3753,抖动计算,AK23,"=IF(OR(AK$19=""TEN"",AL$19=""TEN""),$AN$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP6/180*PI()),对齐度计算!BE6)",,空
3754,抖动计算,AL23,"=IF(OR(AK$19=""TEN"",AL$19=""TEN""),$AO$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP6/180*PI()),对齐度计算!BF6)",,空
3755,抖动计算,AM23,"=IF(OR(AM$19=""TEN"",AN$19=""TEN""),$AN$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP6/180*PI()),对齐度计算!BG6)",,空
3756,抖动计算,AN23,"=IF(OR(AM$19=""TEN"",AN$19=""TEN""),$AO$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP6/180*PI()),对齐度计算!BH6)",,空
3757,抖动计算,AO23,"=IF(OR(AO$19=""TEN"",AP$19=""TEN""),$AN$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP6/180*PI()),对齐度计算!BI6)",,空
